,Subject,Subject_L,ImagePath,DateTime,Hour,TimeBin,TimeBin_L,Model,Model_L,FocalLengthIn35mmFilm,ExposureProgram,ExposureBiasValue,Flash,Dof,FNumber,Av,ExposureTime,Tv,ISOSpeedRatings,Sv,Bv,BrightnessBin,BrightnessBin_L
1,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144646.JPG,2017-12-30 14:46:47,14.0,Daytime,0,DSC-RX100M4,1,38.0,2.0,0.3,0.0,0.30345504483030755,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
2,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144646_1.JPG,2017-12-30 14:46:47,14.0,Daytime,0,DSC-RX100M4,1,38.0,2.0,0.3,0.0,0.30345504483030755,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
3,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144648.JPG,2017-12-30 14:46:49,14.0,Daytime,0,DSC-RX100M4,1,38.0,2.0,0.3,0.0,0.30345504483030755,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
4,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144652.JPG,2017-12-30 14:46:53,14.0,Daytime,0,DSC-RX100M4,1,41.0,2.0,0.3,0.0,0.30719709031715614,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
5,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144654.JPG,2017-12-30 14:46:54,14.0,Daytime,0,DSC-RX100M4,1,41.0,2.0,0.3,0.0,0.30719709031715614,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
6,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144702_1.JPG,2017-12-30 14:47:02,14.0,Daytime,0,DSC-RX100M4,1,41.0,2.0,0.3,0.0,0.30719709031715614,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
7,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144706.JPG,2017-12-30 14:47:06,14.0,Daytime,0,DSC-RX100M4,1,41.0,2.0,0.3,0.0,0.30719709031715614,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
8,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_144712.JPG,2017-12-30 14:47:12,14.0,Daytime,0,DSC-RX100M4,1,46.0,2.0,0.3,0.0,0.30973547577883276,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
9,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_190540.JPG,2017-12-30 19:05:41,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.03333,4.907,6400.0,11.0,-3.122,Indoor,3
10,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_190542.JPG,2017-12-30 19:05:42,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.03333,4.907,6400.0,11.0,-3.122,Indoor,3
11,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_191342.JPG,2017-12-30 19:13:42,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.008,6.966,5000.0,10.644,-0.707,Indoor,3
12,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_191352.JPG,2017-12-30 19:13:52,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.008,6.966,5000.0,10.644,-0.707,Indoor,3
13,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_191354.JPG,2017-12-30 19:13:54,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
14,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_191400_1.JPG,2017-12-30 19:14:00,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
15,AllBaby,0,C:\Users\shera\Pictures\2018\171230-ZAK-7TH-MONTH\171230-Zak-7M_191402.JPG,2017-12-30 19:14:02,19.0,Evening,1,DSC-RX100M4,1,70.0,2.0,0.3,0.0,0.3050487912375281,2.8,2.971,0.008,6.966,4000.0,10.322,-0.385,Indoor,3
